,business_id,positive words,negative words
259,UZ34XAw1GJ3chCOuKL69Mg,tortilla,"lunch,time,staff,service,manager"
260,S4AxMho1JHup_WMNzaBodA,,"quesadilla,burrito,time,service"
261,lv5Bnqlt93NnvNJ2oNcQ8Q,"salsa,shrimp,fajita","beef,taco,service"
262,CeuTRtwsq6w5rztGOyNMPg,,"asada,fries,burrito,chips"
263,fGnILhhgE393e-8X9JIB4Q,"salsa,dinner,fish,burrito","lunch,time,staff,fajita,atmosphere,chicken,service"
264,dQwjYLmQXb06CpMPIpm5-g,time,"atmosphere,service,staff"
265,M4hsEeuLRRviYsdUPfaUcQ,,
266,64Pj9JV8jPOizCKpFI7Y2g,,"time,fish,salad"
267,iBJkMN312pYODkVPIa2U6A,"burrito,manager,salad","lunch,steak,meat,chicken,service"
268,Ekxhn3gyMfoXslnVxhZn3w,,taco
269,reMD4XrJSJ-bQ185AmZL3A,"price,fish,fries,staff","taco,time"
270,gT4gngtGKYOW-jl5UIBahg,steak,"burrito,service,staff"
271,2HxaDXZmAOH6LiuzGgNdPA,,"chicken,time,staff,service,wait,minute"
272,9YnK_lZ7lInd81BURIk3Ew,"burrito,time,staff,service,chips","taco,rice"
273,g5ONhK7zj79bdeDIv9Xzpg,,"burrito,taco,dinner,staff,service"
274,6U5QlK84UmPUgoJAwAcL9Q,"time,fish","taco,salsa,chips"
275,eUi3O-8Gqh_nJ_ZhO-25gQ,"shrimp,meat,steak","burrito,fries,staff,beef,atmosphere,price,chicken,rice"
276,o1Pjim5n8xJjjAE_v4RiHA,"staff,burrito,time,guacamole","minute,chips"
277,mss-LiOfL1vtoNo3WoEoJw,,time
278,Oroaoa5XQuu0bolzocyZDg,,"taco,time,service"
279,T1lOHMIas_PSflKY7duF_g,staff,"chipotle,chicken,service,chips"
280,9t8PEynZGVCG1EjOQr1xBA,,"burrito,time,taco,quesadilla,chicken"
281,yAXWKWRTs4wNy-zrJgoeXQ,"waiter,service","taco,wait,minute,steak"
282,IiTLzksQAv9U8CW3s0bmlg,"lunch,breakfast,burrito,staff","taco,time,chile,fish"
283,feXaud0exONNXlUu1m9DZg,service,"lunch,time,staff"
284,LwH0uzsl_Rsb5MsJqaNc6w,,service
285,-uqIK0vIzD_7PrnCgwhlHA,"line,lunch,beef","burrito,chicken"
286,ZLrDrRo1Vy03HJka4KVb9w,"price,wait,dinner,steak","waitress,service"
287,04ZtW6rq8rPYD-kLhNY2_Q,"margarita,staff","time,patio,fries,atmosphere,salsa,service,chips"
288,Tyu7VY1fM7DnOuOC0G714w,,"salsa,guacamole"
289,nICEDIVnk6OJZMaDr1Dz3A,,
290,s173l3ubdDLHeFIBO3ydrw,"service,staff","lunch,burrito,time,taco,quesadilla,line,rice"
291,n4HJ0fTMwMEGx07tzhN7Gw,,
292,5Mp-PD_CUaPoJr6CP-WBdA,"salsa,fish,shrimp","breakfast,service,steak"
293,3X-jhrbCSMv5hfUS02xdHA,"beef,price","lunch,time,salsa,service,chips"
294,OCFBflnJKmGyTgGpK7X7eQ,"wait,steak",time
295,AMktMQpUKosTCP_R4c-h6Q,,lunch
296,hDlDKfFpUCW47lifcGZSNg,"chipotle,lunch,breakfast,shrimp","burrito,time,meat,taco,price,service"
297,6tCMxC7Etf--WYEd-EiprA,"asada,burrito","lunch,time,staff,taco,service"
298,H-3l48X4ANDJeok4OxS2Vw,,
299,OQzCZQl9BLU6d1HBxbCHCQ,"staff,time,margarita,guacamole",service
300,2EseSYpIwW6JaA0wUojd4Q,"lunch,waitress,taco","time,staff,wait,salsa,service,fish"
301,Cd3InBI7yCeXjf6xKv4jbA,"lunch,breakfast,price","burrito,service"
302,Pw06ajii6di7QHYpj6IgkQ,,burrito
303,x-HiCsQUNdtbghzW4_ra2Q,"time,service","taco,lunch,salad"
304,Xee2PYoYYSue1WXMJIGaPQ,,vegan
305,0rjArZxONWhzsr58ddAeEQ,,"burrito,service"
306,RGmBfqdFb0giLPG-SZbQUQ,,
307,qUqmTlchliF55jF7s4Xlmw,lunch,"line,chipotle,service,staff"
308,WB8BmFMORvshjb7tBw0e0Q,"time,fish","salsa,service,chips,taco"
309,SxqNnm4piAlFNNiBaXM0kg,"lunch,burrito","taco,service,price"
310,mWEltFSw33nARGPLvZiAJw,,"price,salsa,time,taco"
311,qHseX2NHeUUedIgs_VasZA,service,"taco,time,chips"
312,GOgDg2AgQrXhhtioBC-tmQ,,
313,9iNrlCktKG4QKgQra10EDQ,,"time,burrito,chipotle,service"
314,EUgHFeAvock2Ut3iWPlG8Q,,"lunch,taco,time,service"
315,ONVn_LHEIdGldnyeR7pl8w,"lunch,time,burrito,staff,taco,line",fish
316,mFzawhJ-qGsfnzGaBTt8Vg,,"taco,chicken,fish"
317,n2dhdtnOzqeAKSn6s3nQSw,time,
318,Sx4aZlryBbLsjr8eQngEqA,staff,"taco,time,dinner"
319,vtJe3fNnpg89UJR2M1SNcA,,
320,UJb1PrUWDFfuzwUPc1pP4Q,"atmosphere,beer","time,service,patio,staff"
321,DaTQLers4x_DbGPi7r_xVw,guacamole,"burrito,time,pork,taco,chicken"
322,1p6qHrapvuKpbZGLT9qskw,"lunch,patio,dinner,taco","time,service,fish"
323,bQxCdnbnR5WPBxIAuPY6_Q,,patio
324,YBb-sAYuFv86MGfwQP5Ojg,dinner,"nacho,beef,meat,taco,rice"
325,zdW81Pk8Q3jA5sMj9AHOrA,,lunch
326,JA5GJINnaQQxKfoTUOBAOQ,"asada,burrito",taco
327,7phGRr7Z36IrET7zDKD3Pg,asada,"burrito,time,waitress,taco,salsa,price,chicken,service,manager"
328,5Hq5gPxm05J9V_EhhOf54Q,dinner,
329,zTkMh_RUVZW-J3lh7-l09Q,"atmosphere,waiter","dinner,service"
330,wHxe_D6_MPhMLNuHVLMIqQ,"burrito,taco,dinner,asada,breakfast,service",
331,Ufa7MJ3yDDIMFkYctnhT8Q,,"chipotle,rice"
332,G-uuABMCbX0MYf0gQDVfKg,"price,time","manager,service,margarita,staff"
333,p4YvOzp42g3JzlXJny8F0g,"service,guacamole","time,margarita,staff,atmosphere,taco,chile,rice"
334,Lvn3RqiiAUYrWIy6FC-5Ow,"beef,taco,atmosphere,staff","service,time,dinner,margarita"
335,_BaA052qAWqhKbCQ4s-_8A,,waiter
336,PrwXfYk-EZpiw5aehyBzzg,,"burrito,time,dinner,asada,service,breakfast,minute"
337,5KgZD0CDNpUjbdV7OjUuXA,"lunch,patio,guacamole","chicken,wait,service"
338,jWHr_b19C1SjRvfI9jbdmQ,"lunch,time,burrito,steak,taco,chicken","asada,service,guacamole"
