,business_id,positive words,negative words
148,JMpATuCfHzeP-DASD7DpXQ,,"breakfast,burrito,steak"
149,W-ncMUrOh5RzHvAIKJp0rg,taco,"nacho,service"
150,u5U7iPk2D6SPprqlT7yTGQ,"taco,fish,atmosphere","breakfast,time"
151,BsC8_eQMJ16Hg_wlsFi8jA,,
152,lnv844c86Q-UMtBHxqDUEg,,"tortilla,time,staff,wait"
153,gOOfBSBZlffCkQ7dr7cpdw,staff,"time,dinner,pork"
154,SUd3IyEN7n5OYEGyt_U5lg,service,taco
155,9WtEKbNGOU-wo2Gic1hUpA,,"tortilla,asada"
156,HPngBhTmMOXbQI9Noppeaw,staff,"chipotle,line,wait,time,burrito,steak,patio"
157,hFK8uBuuwZgyCMYAis60MA,,"breakfast,time,taco,service"
158,k-drEjxKmfqllwfY90STfA,"staff,wait,lunch,guacamole,minute","time,dinner,table"
159,URGUzMJRhK5gLQKC4UztTQ,,"service,manager"
160,da_QOspls2XoU5AZ6QNcww,"staff,fish,meat,lunch,time,burrito,chicken",shrimp
161,TectsyEvH5vmlgtYQ7Sjsw,,
162,eJPckkV1k7gn0V2awA1pzA,lunch,"chipotle,fish,service,time,rice,burrito,tortilla"
163,i3oRRwl3RWOxKfTtiJbliw,,"taco,burrito"
164,75i9St7QE12NX5JM-Zt90g,,staff
165,vUJhUVmRMn9T4gsmz-L_Yg,chicken,"asada,salsa"
166,AUl6myFhTAbEqt0GMdKHiw,,"time,chipotle"
167,TGlCiibIB2IxZwVzBjC2ng,,"time,taco,meat"
168,kOUnvmGamiw90BfmthoQGg,"lunch,staff,chicken,dinner","service,wait,waiter,time,rice,salsa"
169,MpAhuv_BBhYHDElgx1pD4g,,"quesadilla,chipotle,line,burrito"
170,ntkeyTQNc735Dr-yjGd_IQ,"time,service,shrimp","staff,taco,line"
171,bEmaq87n2n7_t2dZpUDziw,dinner,"staff,service,lunch,time,atmosphere"
172,9Q1ZtzTPFWG4fJiFSko5Xg,"chips,waiter","lunch,dinner,time,salsa"
173,OaDijC3QRwxw9uTadyWIsw,,dinner
174,ddplAthoA2pGLoSqhHpVkA,"taco,salsa","lunch,service,burrito"
175,_v7lMUtdd6WlgKUEBLA_VA,"chicken,dinner,atmosphere","waitress,staff,service"
176,9q8phddM1YWNKZVepKi6iQ,,"staff,taco,service,time,drink"
177,rMVi-Vn_mN_X9J1ZSl1lWA,"fish,service,time,steak,taco,enchilada,shrimp","guacamole,lunch"
178,_HU30V8E6vuENIDsb0r82A,,
179,QaMb5uqUmC4Zm4aNVzM8kQ,guacamole,"service,time,lunch,patio,dinner"
180,15LVDu1_v97JEx-g97wnfA,,"salad,bacon"
181,lVfZ2AaYRYHCFenUMQna8g,"steak,breakfast,taco,price,chile","line,service,lunch,time,burrito"
182,AXQ6qAqYhB7sTrS0BY2ymg,,"taco,service,meat"
183,EagobNqcGL5Y5LoVcyoX9A,"salsa,chicken,staff,service","lunch,time"
184,hJda5g5v_2rT3D-3mSf7cQ,,lunch
185,2vr2yGIzSehe_ITFamNpyw,"chips,asada,service,time",taco
186,426RL7G7oTyu-f8jFxVRJQ,"chicken,taco,price,wait","time,chipotle,service"
